island,year,n_stations,tmed_annual,tmin_annual,tmax_annual,anom_tmed,anom_tmin,anom_tmax,prec_annual,hr_media_annual,hr_min_annual,hr_max_annual,velmedia_annual,racha_mean_annual,sol_annual,pres_min_annual,pres_max_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
La Gomera,2023,5,20.385650224215247,16.504857323691404,24.280540573745313,1.3186159298269544,1.0224172026547524,1.6279009472166237,184.1924874791319,65.51399200456882,48.35624561232982,82.80818849689093,3.345771964546375,10.293443668437275,3388.2999999999997,1002.1903597122302,1005.3192805755394,98.4,9.7,0,47.5,9.9
La Gomera,2024,4,19.245795691452397,15.29874913134121,23.19374565670605,0.178761397064104,-0.18369098969544062,0.5411060301773603,171.29603340292275,67.3445318084346,48.70037314312116,84.43649253672724,3.7275345533163464,10.54287573313783,3383.0999999999995,991.2437158469945,994.377868852459,39,0.9,0,20.1,2.7
La Gomera,2025,5,19.14689389774601,15.574931280923584,22.719186366135236,0.07985960335771836,0.0924911598869329,0.06654673960654733,288.9511269928532,69.4011396011396,52.83265797221834,84.91136790878596,3.563998690954869,10.579256806964338,3429.1,1003.383653846154,1006.6070054945054,73.1,3,0,24.4,4.6
La Graciosa,2015,1,20.914851485148514,17.706930693069307,24.12013201320132,-0.2742061081267302,-0.3850168396797997,-0.16463906438630005,83.8,66.56175298804781,51.65182186234818,84.75303643724696,11.00738255033557,21.849668874172185,2101.4,1015.5633663366337,1018.6874587458746,85,0,0,9,0
La Graciosa,2016,1,20.850273224043715,17.78087431693989,23.9172131147541,-0.3387843692315293,-0.3110732158092162,-0.36755796283351927,115.2,69.24590163934427,55.540983606557376,85.22950819672131,5.7516279069767435,11.516279069767442,2405.4,1015.1409836065574,1018.2923497267759,93,0,0,3,0
La Graciosa,2017,1,21.41757925072046,18.18904899135447,24.649279538904896,0.22852165744521713,0.09710145860536201,0.3645084613172749,50.8,67.22988505747126,53.12068965517241,83.95114942528735,5.828412256267409,11.78072625698324,2530.2,1014.3329608938548,1017.5840782122905,118,1,0,13,2
La Graciosa,2018,1,20.485470085470087,17.543589743589745,23.42222222222222,-0.7035875078051568,-0.5483577891593612,-0.8625488553654002,135.2,69.62393162393163,56.21937321937322,86.01994301994301,5.790985915492958,11.511331444759207,2276.9,1014.6214689265537,1017.7562146892656,91,0,0,1,0
La Graciosa,2019,1,20.845479452054793,17.745479452054795,23.944657534246577,-0.34357814122045127,-0.34646808069431145,-0.3401135433410438,43.6,68.5068493150685,54.61643835616438,85.53424657534246,6.18599348534202,11.680514705882352,2477.8,1014.9805479452053,1018.0586301369862,95,0,0,2,0
La Graciosa,2020,1,21.324043715846994,18.127322404371586,24.51584699453552,0.1349861225717497,0.035374871622479986,0.23107591694789775,67.4,69.75277777777778,54.779661016949156,89.50847457627118,5.765217391304348,11.478481012658229,2602.1,1014.8188524590164,1018.1737704918032,119,0,0,6,0
La Graciosa,2021,1,20.81085714285714,17.789142857142856,23.833142857142857,-0.37820045041810246,-0.30280467560625013,-0.45162822044476414,64.2,69.67846607669617,55.76470588235294,86.50154798761609,5.975833333333333,11.747196261682243,2367.3,1014.5458689458688,1017.7230769230771,87,0,0,2,0
La Graciosa,2022,1,21.21896024464832,18.186850152905198,24.251376146788992,0.029902651373074463,0.09490262015609119,-0.033394930798628764,128,67.6697247706422,53.424657534246585,83.92602739726027,5.772384937238494,11.575,2529.9,1014.0890410958904,1017.3517808219178,96,0,0,9,0
La Graciosa,2023,1,22.22970297029703,19.004620462046205,25.455775577557755,1.0406453770217858,0.9126729292970985,1.1710044999701346,23.6,67.37953795379538,53.53465346534654,84.11551155115511,5.687128712871287,11.637623762376238,2225.9,1014.7501650165016,1017.8712871287129,142,1,0,16,7
La Graciosa,2024,1,21.753168044077135,18.628650137741047,24.87548209366391,0.5641104508018913,0.536702604991941,0.5907110160762876,27.2,66.63085399449035,52.696969696969695,84.01101928374656,5.934710743801653,12.17961432506887,2441.7,1014.27182320442,1017.4378453038674,110,0,0,9,0
La Graciosa,2025,1,21.22924791086351,18.30891364902507,24.147353760445682,0.040190317588265856,0.2169661162759624,-0.1374173171419386,127.39999999999999,68.78991596638656,55.8235294117647,84.05602240896359,5.787150837988828,11.06740947075209,2343.2,1014.4885793871867,1017.6869080779944,115,0,0,6,2
La Palma,2015,4,19.560564349621473,16.569167240192705,22.5532002752925,0.28709681994311964,0.632080696215672,-0.05626979638795859,393.9261823166552,70.50549450549451,55.83919777152678,84.57559522457312,4.262967224191736,10.52565929223293,2226.2,1014.1798898071625,1017.4137741046833,77.9,1,0,5.8,1.5
La Palma,2016,5,18.910027855153203,15.611264008550885,22.211189536151142,-0.36343967452515,-0.32582253542614836,-0.39828053552931664,321.8328151986183,70.09085872576178,56.06039098645086,84.2293668462746,4.128072328782261,10.800404604660054,2272.8,1013.396675900277,1016.6404432132964,64.2,2.6,0,14,3.2
La Palma,2017,5,19.37699716713881,16.08226628895184,22.66889990557129,0.10352963746045774,0.145179744974806,0.059429833890831674,265.6573219373219,69.58356781091727,54.82533515104551,84.22056234959864,4.004037541327276,10.641549664838958,2242.6,1012.7423822714682,1015.9842105263158,73.4,2.3,0,15.7,2.3
La Palma,2018,5,18.29379802414929,15.079747530186607,21.504334685040206,-0.9796695055290634,-0.8573390137904262,-1.105135386640253,437.04,71.60761589403974,57.28449709631443,86.19399847936998,4.275888173874283,11.081370944593054,2149.6,1013.2047091412743,1016.4656509695291,49.7,0.4,0,6.4,0.6
La Palma,2019,5,18.948162803843978,15.573146802834865,22.323120407009608,-0.32530472583437486,-0.3639397411421683,-0.2863496646708512,218.5431715575621,68.15554298642535,53.5295787917802,83.57309989125271,4.176076848533039,10.64094533058481,2213.8,1013.4153846153846,1016.5068681318681,59.3,1.4,0,9,2.5
La Palma,2020,5,19.622689994532532,16.217003827227995,23.031437944231822,0.3492224648541793,0.27991728325096155,0.42196787255136314,310.1078184800437,66.82930845225027,52.014487185117105,82.37488328134889,4.148444673188939,10.667170216140292,2326.2,1012.9335164835164,1016.3362637362638,76.2,4,0.2,18.2,3.2
La Palma,2021,5,18.978912685337725,15.743053267435474,22.215815485996703,-0.2945548443406274,-0.19403327654155866,-0.39365458568375544,343.44043141592925,69.71106219042377,56.04124601601118,83.79311738873785,4.150679779674837,10.631684711856405,2131.4,1012.678846153846,1015.9629120879121,65.8,3.6,0.2,14.2,3.4
La Palma,2022,5,19.23031301482702,15.80966501922021,22.648709500274578,-0.04315451485133437,-0.1274215247568229,0.039239428594118664,542.46,69.31040176114475,54.11481985677653,84.4534779057725,4.144265286218002,10.760049480905833,2475.8,1012.1005509641873,1015.4523415977961,68.2,2.6,0,12.6,3.6
La Palma,2023,5,20.244712328767122,16.67095890410959,23.816657534246577,0.9712447990887689,0.7338723601325565,1.207187462566118,401.06,66.2504118616145,51.56245315182712,81.95931291097534,3.9716845530916522,10.230388562889063,2672.1,1012.5002747252746,1015.7244505494506,92.4,4.2,0.6,29,4.2
La Palma,2024,5,19.781574630945872,16.263696008747953,23.300820120284307,0.5081071012675196,0.3266094647709199,0.691350048603848,303.12,68.09950792782942,52.074272190058196,83.89985395118224,4.219069148456792,10.733914092969504,2505.4,1012.2362637362637,1015.5631868131868,68.6,1.2,0,14,1.4
La Palma,2025,5,19.060389972144847,15.687983086289247,22.42998539438631,-0.21307755753350577,-0.2491034576877862,-0.1794846772941483,468.7309749303621,71.86737548964746,57.82049925047322,86.04493544460533,4.163325935902538,10.5476294210686,2412.9,1012.6440771349862,1015.9575757575759,68.6,1.6,0,15.1,3.7
Lanzarote,2015,5,19.923621590249567,16.626813697040046,23.219733023795705,-0.12796521368948888,-0.07350023761810931,-0.18260661996848526,99.86830122591944,70.60933108487914,54.51683528970548,87.74813989488989,5.498664175993801,12.422034994011252,2580.008653846154,1015.6271232876713,1018.9386301369863,59.3,0.2,0,23.2,3.5
Lanzarote,2016,5,19.64457300275482,16.43129476584022,22.856473829201104,-0.4070138011842346,-0.269019168817934,-0.5458658145630864,149.12893289328935,72.28281164195496,56.89591870966887,88.38949323555302,5.523815806948174,12.35022481268863,2944.8,1014.7497252747254,1018.129945054945,47.7,0.2,0,16,2
Lanzarote,2017,5,20.204357418643134,16.784886927744072,23.621070049641478,0.15277061470407816,0.08457299308591715,0.2187304058772881,51.739669421487605,69.16180517336268,53.03239589815872,86.42776099710069,5.36778965603679,12.47113644890352,3033.3,1014.0791780821918,1017.5731506849315,60.6,2,0,25.6,4.2
Lanzarote,2018,5,19.073666849917537,15.996866410115448,22.14997251236943,-0.9779199540215195,-0.7034475245427068,-1.2523671313947595,130.72388797364084,73.53296703296704,58.45433196091288,89.46888044938746,5.618828760237339,12.696577707590444,3129.1,1014.5406593406593,1017.9118131868132,40.2,0,0,7.2,0.4
