year,territory_code,units,value,indicator_id,territory_name,level
2016,ES70,Porcentaje,-30.31,ods_13_2_2_D,Canarias,canarias
2017,ES70,Porcentaje,-28.7,ods_13_2_2_D,Canarias,canarias
2018,ES70,Porcentaje,-29.92,ods_13_2_2_D,Canarias,canarias
2019,ES70,Porcentaje,-30.55,ods_13_2_2_D,Canarias,canarias
2020,ES70,Porcentaje,-41.58,ods_13_2_2_D,Canarias,canarias
2021,ES70,Porcentaje,-36.56,ods_13_2_2_D,Canarias,canarias
2010,ES,pH,8.083,ods_14_3_1,España,pais
2011,ES,pH,8.081,ods_14_3_1,España,pais
2012,ES,pH,8.08,ods_14_3_1,España,pais
2013,ES,pH,8.078,ods_14_3_1,España,pais
2014,ES,pH,8.074,ods_14_3_1,España,pais
2015,ES,pH,8.072,ods_14_3_1,España,pais
2016,ES,pH,8.07,ods_14_3_1,España,pais
2017,ES,pH,8.066,ods_14_3_1,España,pais
2018,ES,pH,8.066,ods_14_3_1,España,pais
2019,ES,pH,8.064,ods_14_3_1,España,pais
2020,ES,pH,8.059,ods_14_3_1,España,pais
2021,ES,pH,8.059,ods_14_3_1,España,pais
2022,ES,pH,8.056,ods_14_3_1,España,pais
2023,ES,pH,8.051,ods_14_3_1,España,pais
2024,ES,pH,8.052,ods_14_3_1,España,pais
2010,ES70,pH,8.079,ods_14_3_1,Canarias,canarias
2011,ES70,pH,8.078,ods_14_3_1,Canarias,canarias
2012,ES70,pH,8.076,ods_14_3_1,Canarias,canarias
2013,ES70,pH,8.075,ods_14_3_1,Canarias,canarias
2014,ES70,pH,8.072,ods_14_3_1,Canarias,canarias
2015,ES70,pH,8.069,ods_14_3_1,Canarias,canarias
2016,ES70,pH,8.068,ods_14_3_1,Canarias,canarias
2017,ES70,pH,8.063,ods_14_3_1,Canarias,canarias
2018,ES70,pH,8.065,ods_14_3_1,Canarias,canarias
2019,ES70,pH,8.062,ods_14_3_1,Canarias,canarias
2020,ES70,pH,8.057,ods_14_3_1,Canarias,canarias
2021,ES70,pH,8.057,ods_14_3_1,Canarias,canarias
2022,ES70,pH,8.055,ods_14_3_1,Canarias,canarias
2023,ES70,pH,8.048,ods_14_3_1,Canarias,canarias
2024,ES70,pH,8.051,ods_14_3_1,Canarias,canarias
2010,ES,Porcentaje,36.32,ods_15_1_1,España,pais
2011,ES,Porcentaje,36.31,ods_15_1_1,España,pais
2012,ES,Porcentaje,36.35,ods_15_1_1,España,pais
2013,ES,Porcentaje,36.35,ods_15_1_1,España,pais
2014,ES,Porcentaje,36.35,ods_15_1_1,España,pais
2015,ES,Porcentaje,36.36,ods_15_1_1,España,pais
2016,ES,Porcentaje,36.32,ods_15_1_1,España,pais
2017,ES,Porcentaje,36.49,ods_15_1_1,España,pais
2018,ES,Porcentaje,36.5,ods_15_1_1,España,pais
2019,ES,Porcentaje,36.5,ods_15_1_1,España,pais
2020,ES,Porcentaje,36.81,ods_15_1_1,España,pais
2021,ES,Porcentaje,38.02,ods_15_1_1,España,pais
2022,ES,Porcentaje,38.02,ods_15_1_1,España,pais
2010,ES70,Porcentaje,17.74,ods_15_1_1,Canarias,canarias
2011,ES70,Porcentaje,17.75,ods_15_1_1,Canarias,canarias
2012,ES70,Porcentaje,17.74,ods_15_1_1,Canarias,canarias
2013,ES70,Porcentaje,17.74,ods_15_1_1,Canarias,canarias
2014,ES70,Porcentaje,17.75,ods_15_1_1,Canarias,canarias
2015,ES70,Porcentaje,17.75,ods_15_1_1,Canarias,canarias
2016,ES70,Porcentaje,17.75,ods_15_1_1,Canarias,canarias
2017,ES70,Porcentaje,17.75,ods_15_1_1,Canarias,canarias
2018,ES70,Porcentaje,18.39,ods_15_1_1,Canarias,canarias
2019,ES70,Porcentaje,18.39,ods_15_1_1,Canarias,canarias
2020,ES70,Porcentaje,18.39,ods_15_1_1,Canarias,canarias
2021,ES70,Porcentaje,18.46,ods_15_1_1,Canarias,canarias
2015,ES,Porcentaje,27.96,ods_15_1_2_A,España,pais
