indicativo,nombre,island,year,n_days,n_temp,n_prec,pct_temp,pct_prec,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35,use_for_annual,baseline_tmed,baseline_tmin,baseline_tmax,anom_tmed,anom_tmin,anom_tmax
C229J,PÁJARA,Fuerteventura,2022,363,353,356,0.9724517906336089,0.9807162534435262,22.723512747875354,19.679036827195468,25.7685552407932,110.2,180,3,0,31,7,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,0.46400878444805116,0.5290269091702235,0.39909744555317417
C229J,PÁJARA,Fuerteventura,2023,356,332,352,0.9325842696629213,0.9887640449438202,23.325602409638556,20.429518072289156,26.21867469879518,89.4,179,13,1,46,13,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,1.066098446211253,1.2795081542639117,0.8492169035551527
C229J,PÁJARA,Fuerteventura,2024,366,355,362,0.9699453551912568,0.9890710382513661,22.962253521126762,20.313239436619718,25.60901408450704,60.8,192,3,0,20,3,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,0.7027495576994589,1.1632295185944734,0.23955628926701422
C229J,PÁJARA,Fuerteventura,2025,356,348,350,0.9775280898876404,0.9831460674157303,22.454310344827586,19.836206896551722,25.070977011494254,55.9,163,5,0,21,6,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,0.1948063814002836,0.6861969785264783,-0.2984807837457737
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2015,336,313,314,0.9315476190476191,0.9345238095238095,22.2814696485623,18.65367412140575,25.913099041533545,58.2,121,6,0,41,8,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.36136018478281073,0.2840207672643551,0.4429093745534658
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2016,364,361,361,0.9917582417582418,0.9917582417582418,22.02880886426593,18.463157894736842,25.593351800554018,88.2,124,3,0,42,4,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.10869940048644011,0.09350454059544688,0.12316213357393835
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2017,365,364,364,0.9972602739726028,0.9972602739726028,22.35247252747253,18.716758241758242,25.987912087912086,36,148,5,0,43,6,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.4323630636930389,0.34710488761684744,0.5177224209320066
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2018,364,363,347,0.9972527472527473,0.9532967032967034,21.301652892561982,17.839669421487603,24.757024793388428,22.2,112,0,0,16,0,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,-0.6184565712175072,-0.5299839326537921,-0.7131648735916514
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2019,364,363,363,0.9972527472527473,0.9972527472527473,21.36198347107438,17.873002754820938,24.850964187327822,21.8,106,3,0,23,2,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,-0.5581259927051079,-0.4966505993204571,-0.6192254796522576
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2020,366,366,366,1,1,21.99945355191257,18.40601092896175,25.589071038251365,24.2,138,6,0,44,5,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.07934408813308025,0.03635757482035373,0.11888137127128573
